type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,52.40528,9.65783,50,0,6.854,34.46,,
T,52.40537,9.6577,50,0,6.867,13.36,,
T,52.4055,9.65751,50,0,6.887,19.4,,
T,52.40567,9.65727,50,0,6.912,24.99,,
T,52.40584,9.65701,50,0,6.938,25.9,,
T,52.40597,9.65682,50,0,6.957,19.4,,
T,52.40612,9.65658,50,0,6.98,23.35,,
T,52.40613,9.65656,50,0,6.982,1.76,,
T,52.40619,9.65647,50,0,6.991,9.06,,
T,52.40627,9.65634,50,0,7.004,12.55,,
T,52.40631,9.65626,50,0,7.011,7.03,,
T,52.40632,9.65624,50,0,7.013,1.76,,
T,52.40641,9.65612,50,0,7.025,12.92,,
T,52.40647,9.65602,50,0,7.035,9.53,,
T,52.40653,9.65592,50,0,7.045,9.53,,
T,52.40667,9.6557,50,0,7.066,21.61,,
T,52.40675,9.6556,50,0,7.077,11.21,,
T,52.40684,9.65549,50,0,7.09,12.5,,
T,52.40692,9.65539,50,0,7.101,11.21,,
T,52.40701,9.65529,50,0,7.113,12.11,,
T,52.4071,9.65519,50,0,7.125,12.11,,
T,52.40719,9.65511,50,0,7.137,11.4,,
T,52.40732,9.65499,50,0,7.153,16.61,,
T,52.40738,9.65495,50,0,7.16,7.21,,
T,52.40748,9.65488,50,0,7.173,12.1,,
T,52.40761,9.6548,50,0,7.188,15.46,,
T,52.40771,9.65474,50,0,7.2,11.85,,
T,52.40778,9.65471,50,0,7.208,8.05,,
T,52.40787,9.65466,50,0,7.219,10.58,,
T,52.40804,9.65457,50,0,7.238,19.88,,
T,52.40813,9.65452,50,0,7.249,10.58,,
T,52.4082,9.65447,50,0,7.257,8.5,,
T,52.40834,9.65437,50,0,7.274,17,,
T,52.40842,9.6543,50,0,7.285,10.1,,
T,52.40851,9.65421,50,0,7.296,11.74,,
T,52.40859,9.65413,50,0,7.307,10.43,,
T,52.40866,9.65403,50,0,7.317,10.34,,
T,52.40876,9.6539,50,0,7.331,14.22,,
