type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.81624,2.36275,58.2,7.3,7.575,6.7,,
T,48.81623,2.36263,58.8,7.7,7.584,8.88,,
T,48.81622,2.36249,59.6,7.6,7.594,10.34,,
T,48.81622,2.36234,59.8,1.9,7.605,11.02,,
T,48.81622,2.36221,60,1.3,7.614,9.55,,
T,48.81622,2.36217,59.8,-4.9,7.617,2.94,,
T,48.81622,2.36203,59.3,-4.9,7.628,10.28,,
T,48.81623,2.36181,58.3,-6.2,7.644,16.2,,
T,48.81625,2.36162,57.3,-6.9,7.658,14.13,,
T,48.81627,2.36144,56.6,-5.4,7.671,13.41,,
T,48.81628,2.36132,56.4,-2.5,7.68,8.88,,
T,48.81629,2.36125,56.4,-0.7,7.686,5.26,,
T,48.81631,2.36091,57.7,5.5,7.711,25.07,,
T,48.81631,2.36089,57.9,9.8,7.712,1.47,,
T,48.81631,2.36087,58,9.8,7.714,1.47,,
T,48.81631,2.36085,58.2,9.8,7.715,1.47,,
T,48.81631,2.36078,58.6,8.7,7.72,5.14,,
T,48.81631,2.36076,58.7,8.4,7.722,1.47,,
T,48.81631,2.36074,58.9,8.4,7.723,1.47,,
T,48.81632,2.36065,59.4,8.1,7.73,6.7,,
T,48.81632,2.36061,59.7,8.6,7.733,2.94,,
T,48.81632,2.3606,59.7,8.6,7.733,0.73,,
T,48.81632,2.36058,59.8,8.6,7.735,1.47,,
T,48.81633,2.36056,60,6.8,7.737,1.84,,
T,48.81633,2.36055,60,7.2,7.738,0.73,,
T,48.81633,2.36052,60.2,5.9,7.74,2.2,,
