type,latitude,longitude,altitude (m),course,distance (km),distance_interval (m),name,desc
T,51.45762,5.4118,19,321.8,5.829,26.93,,
T,51.4579,5.41147,19,323.7,5.867,38.69,,
T,51.45798,5.41138,19,325,5.878,10.88,,
T,51.45804,5.41132,19,328.1,5.886,7.87,,
T,51.45811,5.41125,19,328.1,5.895,9.18,,
T,51.45839,5.41095,19.1,326.3,5.933,37.49,,
T,51.45854,5.41079,19,326.4,5.953,20.05,,
T,51.45857,5.41075,19,320.3,5.957,4.34,,
T,51.45881,5.41051,19,328.1,5.989,31.48,,
T,51.45892,5.41039,19.2,325.8,6.003,14.81,,
T,51.45906,5.41026,19,329.9,6.021,18.01,,
T,51.45918,5.41015,19.1,330.3,6.037,15.38,,
T,51.45926,5.41006,19.3,325,6.048,10.88,,
T,51.45935,5.40998,19,331,6.059,11.45,,
T,51.45942,5.40992,19,331.9,6.068,8.83,,
T,51.45951,5.40983,19.4,328.1,6.08,11.81,,
T,51.45962,5.40974,19.2,333,6.094,13.74,,
T,51.45966,5.4097,19,328.1,6.099,5.25,,
T,51.45982,5.40956,19.7,331.4,6.119,20.29,,
T,51.45996,5.40944,19,331.9,6.137,17.67,,
T,51.46008,5.40935,19.4,335,6.151,14.74,,
T,51.46016,5.40928,19.5,331.4,6.162,10.14,,
T,51.46062,5.40892,19.4,334,6.219,56.97,,
T,51.46082,5.40878,19.6,336.4,6.243,24.29,,
T,51.46107,5.40861,19,337,6.273,30.22,,
T,51.46141,5.40836,19.1,335.4,6.315,41.63,,
T,51.46153,5.40828,19,337.4,6.329,14.46,,
T,51.46177,5.40812,19,337.4,6.358,28.92,,
T,51.46202,5.40794,19,335.8,6.389,30.5,,
T,51.46213,5.40788,19,341.2,6.402,12.93,,
T,51.46231,5.40778,19,340.9,6.423,21.2,,
T,51.46244,5.40771,19,341.5,6.438,15.26,,
T,51.46247,5.40769,19,337.4,6.442,3.62,,
T,51.46277,5.40753,19,341.6,6.477,35.18,,
T,51.46295,5.40743,19,340.9,6.498,21.2,,
T,51.46314,5.40735,18.9,345.3,6.52,21.86,,
T,51.4632,5.40732,18.8,342.7,6.527,6.99,,
T,51.46327,5.40729,18.8,345.1,6.535,8.06,,
T,51.46333,5.40726,18.9,342.7,6.542,6.99,,
T,51.46341,5.40722,19,342.7,6.551,9.32,,
T,51.46348,5.40719,19,345.1,6.559,8.06,,
T,51.4636,5.40713,19,342.7,6.573,13.99,,
T,51.46368,5.4071,19,346.8,6.582,9.14,,
T,51.46371,5.40708,19,337.4,6.586,3.62,,
T,51.46383,5.40703,19,345.4,6.6,13.8,,
T,51.46391,5.407,19,346.8,6.609,9.14,,
T,51.46396,5.40697,19,339.5,6.615,5.94,,
T,51.4641,5.40691,19,345.1,6.631,16.12,,
T,51.4642,5.40687,19,346,6.642,11.47,,
T,51.46428,5.40684,19.2,346.9,6.652,9.14,,
T,51.46437,5.40681,19.4,348.3,6.662,10.23,,
T,51.46451,5.40675,19.6,345.1,6.678,16.12,,
T,51.46459,5.40672,19.7,346.9,6.687,9.14,,
T,51.46494,5.40657,20,345.1,6.727,40.31,,
T,51.46526,5.40645,19.8,346.9,6.764,36.57,,
T,51.46561,5.40634,21,348.9,6.804,39.68,,
T,51.46632,5.40612,21.9,349.1,6.884,80.46,,
T,51.46678,5.40598,22.3,349.3,6.936,52.09,,
T,51.46714,5.40587,22.6,349.2,6.977,40.78,,
T,51.46773,5.40568,21.2,348.7,7.044,66.96,,
T,51.46791,5.40562,22.1,348.3,7.064,20.46,,
T,51.46812,5.40555,23,348.3,7.088,23.86,,
T,51.46833,5.40549,23.2,349.9,7.112,23.73,,
