type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,45.09803,7.57589,296.9,0.7,10.489,20.68,,
T,45.09797,7.57576,296.6,-2.4,10.501,12.21,,
T,45.09793,7.57568,296.5,-1.2,10.509,7.71,,
T,45.09777,7.57532,297,1.4,10.542,33.45,,
T,45.09775,7.57529,296.9,-2.2,10.545,3.24,,
T,45.09763,7.57502,296.5,-1.5,10.571,25.09,,
T,45.09746,7.57468,296.7,0.7,10.603,32.76,,
T,45.09746,7.57467,296.7,-3.3,10.604,0.79,,
T,45.0973,7.57437,296.6,-0.3,10.634,29.56,,
T,45.09716,7.57412,296.5,-0.5,10.659,25.09,,
T,45.09696,7.57379,295.9,-1.7,10.693,34.19,,
T,45.09677,7.57347,295.5,-1.3,10.726,32.87,,
T,45.09651,7.57307,295.4,-0.2,10.769,42.73,,
T,45.09646,7.57299,295.3,-2.1,10.777,8.4,,
T,45.09629,7.57275,294.7,-2.1,10.804,26.72,,
T,45.09615,7.57255,294.3,-2,10.826,22.13,,
T,45.09599,7.57235,294.9,2.8,10.85,23.75,,
T,45.09588,7.57221,294.6,-2,10.866,16.46,,
T,45.09566,7.57193,294.8,0.8,10.899,32.92,,
T,45.09518,7.57133,294.6,-0.4,10.97,71.25,,
T,45.09502,7.57113,294.3,-1.2,10.994,23.75,,
T,45.09499,7.57109,294.2,-1,10.999,4.59,,
T,45.09496,7.57105,294.6,7.5,11.003,4.59,,
T,45.09457,7.57056,295.4,1.5,11.061,58.02,,
T,45.09455,7.57053,295.5,1.4,11.064,3.24,,
T,45.09442,7.57036,295.1,-2.2,11.084,19.69,,
T,45.09377,7.56956,297.1,2.1,11.18,95.83,,
T,45.09294,7.5685,298.4,1,11.304,124.38,,
T,45.0928,7.56833,299,2.9,11.325,20.52,,
T,45.09213,7.56748,298.8,-0.2,11.425,100.11,,
T,45.09194,7.56723,299,0.7,11.454,28.86,,
T,45.0918,7.56707,298.2,-3.9,11.474,20.02,,
T,45.0916,7.5668,296.7,-4.9,11.505,30.75,,
T,45.09154,7.56673,296.4,-3.1,11.513,8.65,,
T,45.0915,7.56667,296.8,5.3,11.52,6.49,,
T,45.09148,7.56665,297,6.8,11.522,2.72,,
T,45.09093,7.56597,297.3,0.4,11.604,81.25,,
T,45.09065,7.56561,296.9,-0.9,11.646,42.09,,
T,45.09043,7.56535,297.1,0.5,11.678,31.89,,
T,45.09031,7.5652,297.4,2,11.695,17.81,,
T,45.09022,7.56508,296.8,-4.2,11.709,13.76,,
T,45.08992,7.5647,295.7,-2.6,11.754,44.79,,
T,45.08943,7.56407,298.6,4,11.828,73.66,,
T,45.08894,7.56344,299,0.5,11.901,73.66,,
T,45.0888,7.56326,297.5,-7.5,11.922,21.04,,
T,45.08866,7.56309,296.9,-2.6,11.943,20.52,,
T,45.08843,7.56279,287.6,-26.9,11.978,34.8,,
T,45.08814,7.56242,282.3,-12.1,12.021,43.44,,
T,45.08786,7.56208,297.5,37.1,12.062,41.05,,
T,45.08678,7.56073,305.5,5,12.222,160.32,,
T,45.08605,7.55982,309.6,3.8,12.331,108.23,,
T,45.0853,7.55887,311.9,2,12.443,111.99,,
T,45.0848,7.55823,314,2.8,12.518,75.01,,
T,45.08452,7.5579,314.9,2.1,12.558,40.54,,
T,45.08425,7.55756,315.2,0.9,12.598,40.21,,
T,45.084,7.55724,315.8,1.6,12.636,37.51,,
T,45.0838,7.55697,316.6,2.7,12.667,30.76,,
T,45.0837,7.55683,316.8,1.2,12.682,15.65,,
T,45.08308,7.5559,319.6,2.7,12.783,100.54,,
T,45.08291,7.55559,319.7,0.4,12.814,30.86,,
T,45.08281,7.55539,320.4,3.6,12.833,19.27,,
T,45.08273,7.55524,320.8,3.1,12.848,14.78,,
T,45.08264,7.55507,320.4,-2.8,12.865,16.71,,
T,45.08227,7.55426,321.6,1.6,12.94,75.88,,
T,45.08212,7.55387,320.3,-3.7,12.975,34.94,,
T,45.08211,7.55385,320.3,-0.9,12.977,1.93,,
T,45.08202,7.55362,320.9,2.8,12.998,20.69,,
T,45.08197,7.55352,322,11.5,13.008,9.64,,
T,45.08194,7.55343,322.3,4.5,13.015,7.83,,
T,45.08189,7.55326,321.8,-3.3,13.03,14.49,,
T,45.08189,7.55326,321.8,,13.03,0,,
T,45.08188,7.55311,321.6,-2.3,13.042,11.86,,
T,45.08185,7.55297,321.1,-4.3,13.053,11.52,,
T,45.08179,7.55272,320.6,-2.3,13.074,20.78,,
T,45.0817,7.55236,321.7,3.7,13.104,30.06,,
T,45.08158,7.55186,321.4,-0.8,13.146,41.56,,
T,45.08154,7.55171,320.6,-5.9,13.158,12.62,,
T,45.08153,7.55165,320.4,-3.6,13.163,4.85,,
T,45.08148,7.55146,320.8,2,13.179,15.96,,
T,45.08142,7.55119,321.5,3.1,13.201,22.28,,
T,45.08138,7.5509,322,2.2,13.225,23.26,,
T,45.08132,7.55057,322,0,13.252,26.82,,
T,45.08125,7.5501,320.9,-3,13.289,37.81,,
T,45.08124,7.55,320.6,-3.2,13.297,7.95,,
T,45.08118,7.54967,320.6,-0.2,13.324,26.82,,
T,45.0811,7.54909,320.5,-0.1,13.371,46.52,,
T,45.08107,7.54884,319.4,-5.4,13.391,19.96,,
T,45.08105,7.54853,319.4,-0.1,13.415,24.51,,
T,45.08103,7.5483,319.4,-0.2,13.433,18.25,,
T,45.08103,7.54825,319.3,-1.9,13.437,3.94,,
T,45.08103,7.54802,319,-1.6,13.455,18.11,,
T,45.08103,7.54756,319.2,0.6,13.492,36.22,,
T,45.08104,7.54731,319.9,3.6,13.511,19.72,,
T,45.08105,7.54691,320.2,0.9,13.543,31.51,,
T,45.08107,7.5467,320.1,-0.4,13.56,16.68,,
T,45.08111,7.54632,321,2.8,13.59,30.25,,
T,45.08115,7.54602,321.6,2.5,13.614,24.04,,
T,45.08118,7.5458,322,2.2,13.631,17.64,,
T,45.08121,7.54562,322,0,13.646,14.56,,
T,45.08125,7.54532,322,0,13.67,24.04,,
T,45.08136,7.54459,322.6,1,13.729,58.76,,
T,45.0814,7.54438,323.3,4.3,13.746,17.12,,
T,45.08143,7.54422,323.9,4.4,13.759,13.03,,
T,45.08147,7.54403,324,0.7,13.775,15.61,,
T,45.08154,7.54375,324,0,13.798,23.38,,
T,45.0816,7.54359,324,0.1,13.812,14.25,,
T,45.0817,7.5433,324,0,13.838,25.39,,
T,45.08176,7.5431,325.1,6.1,13.855,17.1,,
T,45.08179,7.543,325.4,4.4,13.863,8.55,,
T,45.0818,7.54296,325.5,1.1,13.867,3.34,,
T,45.0818,7.54291,325.5,0,13.871,3.94,,
T,45.08179,7.54288,325.4,-1.4,13.873,2.61,,
T,45.08178,7.54283,325.4,-0.9,13.877,4.09,,
T,45.08181,7.54276,325.5,1.6,13.884,6.44,,
T,45.08187,7.54257,325.4,-0.8,13.9,16.38,,
T,45.08189,7.5425,325.2,-3.2,13.906,5.94,,
T,45.08194,7.54233,325.6,2.9,13.92,14.49,,
T,45.08211,7.54186,326,0.9,13.962,41.55,,
T,45.08217,7.54168,326,0,13.978,15.66,,
